Site's name;Latitude;Longitude;Iaato ?;Zone's label;SubZone's label
Aitcho Islands;62.24;59.47;true;Antarctic Peninsula;English Strait. SSI
Alcock Island;64.14;61.08;true;Antarctic Peninsula;Hughes Bay
Arago Glacier;64.51;62.23;true;Antarctic Peninsula;Andvord Bay
Ardley Island;62.13;58.56;true;Antarctic Peninsula;KGI, SSI
Argentine Islands;65.15;64.16;true;Antarctic Peninsula;Penola Strait
Astrolabe Island;63.17;58.4;true;Antarctic Peninsula;Bransfield Strait
Baily Head;62.58;60.3;true;Antarctic Peninsula;Deception Island, SSI
Barcroft Islands;66.27;67.1;true;Antarctic Peninsula;Biscoe Islands
Bennett Islands;66.56;67.4;true;Antarctic Peninsula;Hanusse Bay
Berthelot Islands;65.2;64.09;true;Antarctic Peninsula;Grandidier Channel
Blaiklock Island;67.33;67.04;true;Antarctic Peninsula;NE Marguerite Bay
Bongrain Point;67.43;67.48;true;Antarctic Peninsula;W side Pourquoi Pas Island
Brown Bluff;63.32;56.55;true;Antarctic Peninsula;Tabarin Peninsula
Camp Point;67.58;67.19;true;Antarctic Peninsula;Eastern Marguerite Bay
Challenger Island;64.21;61.35;true;Antarctic Peninsula;Gerlache Strait
Charcot, Port;65.04;64;true;Antarctic Peninsula;Booth Island
Christiania Islands;63.57;61.27;true;Antarctic Peninsula;Between Liege & Trinity Is.
Christiania Islands;63.55;61.24;true;Antarctic Peninsula;Gerlache Strait
Comb Ridge;63.55;57.28;true;Antarctic Peninsula;Northern James Ross Island
Cormorant Island;64.48;63.58;true;Antarctic Peninsula;South side of Anvers I.
Crystal Hill;63.39;57.44;true;Antarctic Peninsula;Prince Gustav Channel
Cuverville Island;64.41;62.38;true;Antarctic Peninsula;Errera Channel
Damoy Point;64.49;63.32;true;Antarctic Peninsula;Wiencke Island (hut at Dorian Bay)
Danco Island;64.44;62.37;true;Antarctic Peninsula;Errera Channel
Danger Islands;63.25;54.4;true;Antarctic Peninsula;SE of Joinville Island
Demaria, Mount;64.49;63.32;true;Antarctic Peninsula;Wiencke Island (hut at Dorian Bay)
Detaille Island;66.52;66.48;true;Antarctic Peninsula;Crystal Sound
Devil Island;63.48;57.17;true;Antarctic Peninsula;E. of James Ross Island
Dorian Bay;64.49;63.32;true;Antarctic Peninsula;Wiencke Island (hut at Dorian Bay)
Dubouzet, Cape;63.16;57.03;true;Antarctic Peninsula;NE Trinity Peninsula
Dundas, Cape;60.44;44.24;true;Antarctic Peninsula;Eastern Laurie Island, SOI
D Urville Monument;63.25;56.18;true;Antarctic Peninsula;SW Joinville Island
Duthiers Point;64.48;62.49;true;Antarctic Peninsula;Gerlache Strait
Duthoit Point;62.19;58.5;true;Antarctic Peninsula;Eastern Nelson Island, SSI
Enterprise Island;64.32;62;true;Antarctic Peninsula;Gerlache Strait
Evensen, Cape;66.09;65.44;true;Antarctic Peninsula;Crystal Sound
Fildes Peninsula;62.12;58.58;true;Antarctic Peninsula;KGI, SSI
Fish Islands;66.02;65.25;true;Antarctic Peninsula;Holtedahl Bay
Gage, Cape;64.1;57.05;true;Antarctic Peninsula;Eastern James Ross Island
Gaston Islands;64.28;61.5;true;Antarctic Peninsula;Gerlache Strait
Georges Point;64.4;62.4;true;Antarctic Peninsula;Northern Ronge Island
Gibbs Island;61.28;55.34;true;Antarctic Peninsula;SW of Elephant Island, SSI
Gin Cove;64.03;58.25;true;Antarctic Peninsula;Western James Ross Island
Girard Bay;65.08;64;true;Antarctic Peninsula;Lemaire Channel
Gosling Islands;60.39;45.55;true;Antarctic Peninsula;South of Coronation I., SOI
Goudier Island;64.5;63.3;true;Antarctic Peninsula;Port Lockroy hut -see also Jougla Pt
Gourdin Island;63.12;57.18;true;Antarctic Peninsula;N. tip Antarctic Peninsula
Half Moon Island;62.36;59.55;true;Antarctic Peninsula;East Side of Livingston I.
Hannah Point;62.39;60.37;true;Antarctic Peninsula;Livington Island, SSI
Heim Glacier;67.28;66.55;true;Antarctic Peninsula;Southern Arrowsmith Peninsula
Heroina Island;63.24;54.36;true;Antarctic Peninsula;See Danger Islands
Heywood Island;62.2;59.41;true;Antarctic Peninsula;Off Robert I., SSI
Horseshoe Island;67.51;67.12;true;Antarctic Peninsula;NE Marguerite Bay
Hovgaard Island;65.08;64.08;true;Antarctic Peninsula;Penola Strait
Huemul Island;63.4;60.5;true;Antarctic Peninsula;Northern Trinity Peninsula
Hydrurga Rocks;64.08;61.37;true;Antarctic Peninsula;Gerlache Strait
Intercurrence Island;63.55;61.24;true;Antarctic Peninsula;Gerlache Strait
Jonassen Island;63.33;56.4;true;Antarctic Peninsula;Antarctic Sound
Jougla Point;64.5;63.3;true;Antarctic Peninsula;Port Lockroy (see also Goudier Is)
Kinnes, Cape;63.22;56.33;true;Antarctic Peninsula;Joinville Island (see Madder Cliffs)
Kjellman, Cape;63.44;59.24;true;Antarctic Peninsula;Charcot Bay
Lagarrigue Cove;64.39;62.34;true;Antarctic Peninsula;Errera Channel (near Spigot Peak)
