Zone's label;Subzone's label
Antarctic Peninsula;Southern Elephant I., SSI
Antarctic Peninsula;Deception Island, SSI
Antarctic Peninsula;Joinville Island
Antarctic Peninsula;S coast Laurie Island, SOI
Antarctic Peninsula;Dallmann Bay
Antarctic Peninsula;Eastern KGI, SSI
Antarctic Peninsula;Northern Brabant Island
Antarctic Peninsula;Penola Strait (Mt. Mill)
Antarctic Peninsula;Hughes Bay
Antarctic Peninsula;Andvord Bay (Arg. refuge hut)
Antarctic Peninsula;Northern Ronge Island
Antarctic Peninsula;West of Two Hummock Island
Antarctic Peninsula;South of Dundee Island
Antarctic Peninsula;Deception Island - geothermal beach
Antarctic Peninsula;King George Bay, KGI
Antarctic Peninsula;Seymour Island
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;North of Renaud Is, Biscoe Islands
Antarctic Peninsula;Trinity Peninsula (Victory Glacier)
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;Reclus Peninsula
Antarctic Peninsula;Port Lockroy hut -see also Jougla Pt
Antarctic Peninsula;Holtedahl Bay
Antarctic Peninsula;Robert Island, SSI
Antarctic Peninsula;West side of Errera Channel
Antarctic Peninsula;Antarctic Sound
Antarctic Peninsula;James Ross Is
Antarctic Peninsula;Seymour Island
Antarctic Peninsula;South coast of Coronation I., SOI
Antarctic Peninsula;Paradise Harbor ,if landing
Antarctic Peninsula;Off Intercurrence Island
Antarctic Peninsula;Admiralty Sound
Antarctic Peninsula;Errera Channel (near Spigot Peak)
Antarctic Peninsula;Hughes Bay
Antarctic Peninsula;East Marguerite Bay
Antarctic Peninsula;Paradise Harbor
Antarctic Peninsula;Deception Island , walk to craters
Antarctic Peninsula;Arthur Harbor, Anvers I.
Antarctic Peninsula;King George Island, SSI
Antarctic Peninsula;Waddington Bay (Mt. Demaria)
Antarctic Peninsula;West of Ronge Island
Antarctic Peninsula;Eastern Elephant I., SSI
Antarctic Peninsula;Duse Bay, Trinity Peninsula
Antarctic Peninsula;Penola Strait (Mt. Mill)
Antarctic Peninsula;South of Anvers Island
Antarctic Peninsula;Deception Island , old stations
Antarctic Peninsula;Grandidier Channel
Antarctic Peninsula;Northern Elephant I., SSI
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;Greenwich I., SSI - Spit Point
