Zone's label;Subzone's label
Antarctic Peninsula;English Strait. SSI
Antarctic Peninsula;Hughes Bay
Antarctic Peninsula;Andvord Bay
Antarctic Peninsula;KGI, SSI
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;Bransfield Strait
Antarctic Peninsula;Deception Island, SSI
Antarctic Peninsula;Biscoe Islands
Antarctic Peninsula;Hanusse Bay
Antarctic Peninsula;Grandidier Channel
Antarctic Peninsula;NE Marguerite Bay
Antarctic Peninsula;W side Pourquoi Pas Island
Antarctic Peninsula;Tabarin Peninsula
Antarctic Peninsula;Eastern Marguerite Bay
Antarctic Peninsula;Gerlache Strait
Antarctic Peninsula;Booth Island
Antarctic Peninsula;Between Liege & Trinity Is.
Antarctic Peninsula;Gerlache Strait
Antarctic Peninsula;Northern James Ross Island
Antarctic Peninsula;South side of Anvers I.
Antarctic Peninsula;Prince Gustav Channel
Antarctic Peninsula;Errera Channel
Antarctic Peninsula;Wiencke Island (hut at Dorian Bay)
Antarctic Peninsula;Errera Channel
Antarctic Peninsula;SE of Joinville Island
Antarctic Peninsula;Wiencke Island (hut at Dorian Bay)
Antarctic Peninsula;Crystal Sound
Antarctic Peninsula;E. of James Ross Island
Antarctic Peninsula;Wiencke Island (hut at Dorian Bay)
Antarctic Peninsula;NE Trinity Peninsula
Antarctic Peninsula;Eastern Laurie Island, SOI
Antarctic Peninsula;SW Joinville Island
Antarctic Peninsula;Gerlache Strait
Antarctic Peninsula;Eastern Nelson Island, SSI
Antarctic Peninsula;Gerlache Strait
Antarctic Peninsula;Crystal Sound
Antarctic Peninsula;KGI, SSI
Antarctic Peninsula;Holtedahl Bay
Antarctic Peninsula;Eastern James Ross Island
Antarctic Peninsula;Gerlache Strait
Antarctic Peninsula;Northern Ronge Island
Antarctic Peninsula;SW of Elephant Island, SSI
Antarctic Peninsula;Western James Ross Island
Antarctic Peninsula;Lemaire Channel
Antarctic Peninsula;South of Coronation I., SOI
Antarctic Peninsula;Port Lockroy hut -see also Jougla Pt
Antarctic Peninsula;N. tip Antarctic Peninsula
Antarctic Peninsula;East Side of Livingston I.
Antarctic Peninsula;Livington Island, SSI
Antarctic Peninsula;Southern Arrowsmith Peninsula
Antarctic Peninsula;See Danger Islands
Antarctic Peninsula;Off Robert I., SSI
Antarctic Peninsula;NE Marguerite Bay
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;Northern Trinity Peninsula
Antarctic Peninsula;Gerlache Strait
Antarctic Peninsula;Gerlache Strait
Antarctic Peninsula;Antarctic Sound
Antarctic Peninsula;Port Lockroy (see also Goudier Is)
Antarctic Peninsula;Joinville Island (see Madder Cliffs)
Antarctic Peninsula;Charcot Bay
Antarctic Peninsula;Errera Channel (near Spigot Peak)
Antarctic Peninsula;Port Lockroy (see also Goudier Is)
Antarctic Peninsula;Southern Elephant I., SSI
Antarctic Peninsula;Deception Island, SSI
Antarctic Peninsula;Joinville Island
Antarctic Peninsula;S coast Laurie Island, SOI
Antarctic Peninsula;Dallmann Bay
Antarctic Peninsula;Eastern KGI, SSI
Antarctic Peninsula;Northern Brabant Island
Antarctic Peninsula;Penola Strait (Mt. Mill)
Antarctic Peninsula;Hughes Bay
Antarctic Peninsula;Andvord Bay (Arg. refuge hut)
Antarctic Peninsula;Northern Ronge Island
Antarctic Peninsula;West of Two Hummock Island
Antarctic Peninsula;South of Dundee Island
Antarctic Peninsula;Deception Island - geothermal beach
Antarctic Peninsula;King George Bay, KGI
Antarctic Peninsula;Seymour Island
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;North of Renaud Is, Biscoe Islands
Antarctic Peninsula;Trinity Peninsula (Victory Glacier)
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;Reclus Peninsula
Antarctic Peninsula;Port Lockroy hut -see also Jougla Pt
Antarctic Peninsula;Holtedahl Bay
Antarctic Peninsula;Robert Island, SSI
Antarctic Peninsula;West side of Errera Channel
Antarctic Peninsula;Antarctic Sound
Antarctic Peninsula;James Ross Is
Antarctic Peninsula;Seymour Island
Antarctic Peninsula;South coast of Coronation I., SOI
Antarctic Peninsula;Paradise Harbor ,if landing
Antarctic Peninsula;Off Intercurrence Island
Antarctic Peninsula;Admiralty Sound
Antarctic Peninsula;Errera Channel (near Spigot Peak)
Antarctic Peninsula;Hughes Bay
Antarctic Peninsula;East Marguerite Bay
Antarctic Peninsula;Paradise Harbor
Antarctic Peninsula;Deception Island , walk to craters
Antarctic Peninsula;Arthur Harbor, Anvers I.
Antarctic Peninsula;King George Island, SSI
Antarctic Peninsula;Waddington Bay (Mt. Demaria)
Antarctic Peninsula;West of Ronge Island
Antarctic Peninsula;Eastern Elephant I., SSI
Antarctic Peninsula;Duse Bay, Trinity Peninsula
Antarctic Peninsula;Penola Strait (Mt. Mill)
Antarctic Peninsula;South of Anvers Island
Antarctic Peninsula;Deception Island , old stations
Antarctic Peninsula;Grandidier Channel
Antarctic Peninsula;Northern Elephant I., SSI
Antarctic Peninsula;Penola Strait
Antarctic Peninsula;Greenwich I., SSI - Spit Point
