Ship's name;Society's name;Type;Ship's code;E-Mail;Phone Number;Number of passengers
Alexander von Humboldt;Club Cruise Fleet & Technical Department;Cat. 2;C6WC2;alexandervonhumboldt@shore2ship.net  (while in Antarctic) Otherwise: avhmaster@mvalexandervonhumboldt.com   avhchiefpurser@mvalexandervonhumboldt.com;881 631 833 919;200
Akademik Ioffe;Quark Expeditions;Cat. 1;UAUN;Crew600372345@marsatmail.com (Master)  iofhm@quarkatsea.com (Hotel Manager)  iofel@quarkatsea.com (Expedition Leader) ;870 763477113 (radio room) ;201
Akademik Sergey Vavilov;Quark Expeditions;Cat. 1;UAUO;Crew600372349@marsatmail.com (Master)  vavhm@quarkatsea.com (Hotel Manager)  vavel@quarkatsea.com (Expedition Leader);870 763477115 (radio room)  ;202
Akademik Shokalskiy;Quark Expeditions;Cat. 1;UBNF;shomaster@quarkatsea.com (Master)   shohm@quarkatsea.com (Hotel Manager)   shoel@quarkatsea.com (Expedition Leader) ;870 773 180 053;203
Aleksey Maryshev;Oceanwide Expeditions;Cat. 1;UCRD;amaryshev@skyfile.com;881 621 443 522;204
Andrea;Elegant Cruises and Tours;Cat. 1;ELZV7;master@msandrea.net;Bridge +47 514 074 90;205
Antarctic Dream;Antarctic Shipping S.A.;Cat. 1;HPSF;master.antarctic@navalradio.cl;8747646757;206
Bark Europa;Rederij Bark EUROPA B.V.;Cat. 1;PDZS;europa@gmn-usa.com;+88-163-182 96 96;207
Bremen;Hapag-Lloyd Kreuzfahrten;Cat. 1;C6JC3;captain@ms-bremen.com;330842910;208
Clipper Adventurer;Quark Expeditions;Cat. 1;C6PG6;bridge@mvclipperadventurer.com (Bridge)  captain@mvclipperadventurer.com (Master) cpahm@quarkatsea.com (Hotel Manager) cpael@quarkatsea.com (Expedition Leader);12033462191   12033462193 (Captain)  ;209
Corinthian II;Travel Dynamics International;Cat. 1;9HCO8;captain@corinthianii.com, purser@corinthianii.com, cruise@corinthianii.com, cheng@corinthianii.com;871621583610 or 87162158311;210
