Day;TimeSlot;Site;
1;early morning;;
1;morning;;
1;afternoon;;
1;evening;;
1;overnight;;
2;early morning;;
2;morning;;
2;afternoon;;
2;evening;;
2;overnight;;
3;early morning;;
3;morning;;
3;afternoon;;
3;evening;;
3;overnight;;
4;early morning;;
4;morning;;
4;afternoon;;
4;evening;;
4;overnight;;
5;early morning;;
5;morning;;
5;afternoon;;
5;evening;;
5;overnight;;
6;early morning;;
6;morning;;
6;afternoon;;
6;evening;;
6;overnight;;
7;early morning;;
7;morning;;
7;afternoon;;
7;evening;;
7;overnight;;
8;early morning;;
8;morning;;
8;afternoon;;
8;evening;;
8;overnight;;
9;early morning;;
9;morning;;
9;afternoon;;
9;evening;;
9;overnight;;
10;early morning;;
10;morning;;
10;afternoon;;
10;evening;;
10;overnight;;
11;early morning;;
11;morning;;
11;afternoon;;
11;evening;;
11;overnight;;
12;early morning;;
12;morning;;
12;afternoon;;
12;evening;;
12;overnight;;
13;early morning;;
13;morning;;
13;afternoon;;
13;evening;;
13;overnight;;
14;early morning;;
14;morning;;
14;afternoon;;
14;evening;;
14;overnight;;
15;early morning;;
15;morning;;
15;afternoon;;
15;evening;;
15;overnight;;
16;early morning;;
16;morning;;
16;afternoon;;
16;evening;;
16;overnight;;
17;early morning;;
17;morning;;
17;afternoon;;
17;evening;;
17;overnight;;
18;early morning;;
18;morning;;
18;afternoon;;
18;evening;;
18;overnight;;
19;early morning;;
19;morning;;
19;afternoon;;
19;evening;;
19;overnight;;
20;early morning;;
20;morning;;
20;afternoon;;
20;evening;;
20;overnight;;
21;early morning;;
21;morning;;
21;afternoon;;
21;evening;;
21;overnight;;
22;early morning;;
22;morning;;
22;afternoon;;
22;evening;;
22;overnight;;
23;early morning;;
23;morning;;
23;afternoon;;
23;evening;;
23;overnight;;
24;early morning;;
24;morning;;
24;afternoon;;
24;evening;;
24;overnight;;
25;early morning;;
25;morning;;
25;afternoon;;
25;evening;;
25;overnight;;
26;early morning;;
26;morning;;
26;afternoon;;
26;evening;;
26;overnight;;
27;early morning;;
27;morning;;
27;afternoon;;
27;evening;;
27;overnight;;
28;early morning;;
28;morning;;
28;afternoon;;
28;evening;;
28;overnight;;
29;early morning;;
29;morning;;
29;afternoon;;
29;evening;;
29;overnight;;
30;early morning;;
30;morning;;
30;afternoon;;
30;evening;;
30;overnight;;
31;early morning;;
31;morning;;
31;afternoon;;
31;evening;;
31;overnight;;
